iter	Passed	Remaining
903	4370	464
904	4375	459
905	4379	454
906	4383	449
907	4389	444
908	4393	439
909	4396	434
910	4403	430
911	4408	425
912	4412	420
913	4416	415
914	4420	410
915	4424	405
916	4428	400
917	4435	396
918	4440	391
919	4444	386
920	4449	381
921	4453	376
922	4456	371
923	4460	366
924	4466	362
925	4470	357
926	4474	352
927	4479	347
928	4485	342
929	4488	337
930	4492	332
931	4497	328
932	4501	323
933	4505	318
934	4509	313
935	4516	308
936	4520	303
937	4527	299
938	4532	294
939	4536	289
940	4540	284
941	4547	279
942	4551	275
943	4555	270
944	4560	265
945	4565	260
946	4568	255
947	4572	250
948	4577	245
949	4581	241
950	4584	236
951	4588	231
952	4593	226
953	4596	221
954	4600	216
955	4604	211
956	4609	207
957	4612	202
958	4616	197
959	4620	192
960	4625	187
961	4628	182
962	4632	177
963	4635	173
964	4640	168
965	4644	163
966	4648	158
967	4652	153
968	4657	148
969	4660	144
970	4664	139
971	4668	134
972	4672	129
973	4676	124
974	4679	119
975	4683	115
976	4687	110
977	4691	105
978	4695	100
979	4702	95
980	4706	91
981	4710	86
982	4717	81
983	4724	76
984	4738	72
985	4745	67
986	4752	62
987	4759	57
988	4766	53
989	4776	48
990	4791	43
991	4797	38
992	4803	33
993	4809	29
994	4818	24
995	4826	19
996	4833	14
997	4841	9
998	4851	4
999	4857	0
